PI,Sprint,Dates,Team,Project,Committed,Delivered,Delpct
20-2,2020-11,01-11-2020,Polaris,CAT Angular Migration,56,48,86
20-2,2020-11,01-11-2020,FiniteLoop,Catalyst Portal,54,54,100
20-2,2020-11,01-11-2020,Gladiators,Catalyst Communication,23,23,100
20-2,2020-11,01-11-2020,Performix,Console,45,29,64
20-2,2020-11,01-11-2020,Vega,Course player (HTML5),37,29,78
20-2,2020-11,01-11-2020,DataTycoons,Analytics,25,25,100
20-2,2020-11,01-11-2020,Mavericks,LCEC,24,24,100
20-2,2020-11,01-11-2020,Titans,Certification Manager,33,28,85
20-2,2020-11,01-11-2020,Avengers,Campaign Manager,16,16,100
20-2,2020-10,01-10-2020,Polaris,CAT Angular Migration,57,49,86
20-2,2020-10,01-10-2020,FiniteLoop,Catalyst Portal,47,47,100
20-2,2020-10,01-10-2020,Gladiators,Catalyst Communication,25,20,80
20-2,2020-10,01-10-2020,Performix,Console,56,56,100
20-2,2020-10,01-10-2020,Vega,Course player (HTML5),32,32,100
20-2,2020-10,01-10-2020,DataTycoons,Analytics,24,11,46
20-2,2020-10,01-10-2020,Mavericks,LCEC,24,24,100
20-2,2020-10,01-10-2020,Titans,Certification Manager,37,37,100
20-2,2020-10,01-10-2020,Avengers,Campaign Manager,20,20,100
20-2,2020-09,01-09-2020,Polaris,CAT Angular Migration,50,50,100
20-2,2020-09,01-09-2020,FiniteLoop,Catalyst Portal,52,47,90
20-2,2020-09,01-09-2020,Gladiators,Catalyst Communication,26,26,100
20-2,2020-09,01-09-2020,Performix,Console,47,34,72
20-2,2020-09,01-09-2020,Vega,Course player (HTML5),31,31,100
20-2,2020-09,01-09-2020,DataTycoons,Analytics,19,11,58
20-2,2020-09,01-09-2020,Mavericks,LCEC,30,22,73
20-2,2020-09,01-09-2020,Titans,Certification Manager,36,31,86
20-2,2020-09,01-09-2020,Avengers,Campaign Manager,18,15,83
20-2,2020-08,01-08-2020,Polaris,CAT Angular Migration,51,51,100
20-2,2020-08,01-08-2020,FiniteLoop,Catalyst Portal,55,42,76
20-2,2020-08,01-08-2020,Gladiators,Catalyst Communication,23,23,100
20-2,2020-08,01-08-2020,Performix,Console,42,29,69
20-2,2020-08,01-08-2020,Vega,Course player (HTML5),27,19,70
20-2,2020-08,01-08-2020,DataTycoons,Analytics,29,21,72
20-2,2020-08,01-08-2020,Mavericks,LCEC,22,19,86
20-2,2020-08,01-08-2020,Titans,Certification Manager,32,24,75
20-2,2020-08,01-08-2020,Avengers,Campaign Manager,18,18,100
20-2,2020-07,01-07-2020,Polaris,CAT Angular Migration,51,51,100
20-2,2020-07,01-07-2020,FiniteLoop,Catalyst Portal,50,37,74
20-2,2020-07,01-07-2020,Gladiators,Catalyst Communication,28,28,100
20-2,2020-07,01-07-2020,Performix,Console,42,29,69
20-2,2020-07,01-07-2020,Vega,Course player (HTML5),27,27,100
20-2,2020-07,01-07-2020,DataTycoons,Analytics,21,21,100
20-2,2020-07,01-07-2020,Mavericks,LCEC,21,21,100
20-2,2020-07,01-07-2020,Titans,Certification Manager,32,32,100
20-2,2020-07,01-07-2020,Avengers,Campaign Manager,18,18,100
20-1,2020-05,01-05-2020,Polaris,CAT Angular Migration,46,35,76
20-1,2020-05,01-05-2020,FiniteLoop,Catalyst Portal,58,58,100
20-1,2020-05,01-05-2020,Gladiators,Catalyst Communication,24,24,100
20-1,2020-05,01-05-2020,Performix,Console,55,42,76
20-1,2020-05,01-05-2020,Vega,Course player (HTML5),36,36,100
20-1,2020-05,01-05-2020,DataTycoons,Analytics,37,11,30
20-1,2020-05,01-05-2020,Mavericks,LCEC,17,7,41
20-1,2020-05,01-05-2020,Titans,Certification Manager,33,33,100
20-1,2020-05,01-05-2020,Avengers,Campaign Manager,18,13,72
20-1,2020-04,01-04-2020,Polaris,CAT Angular Migration,60,52,87
20-1,2020-04,01-04-2020,FiniteLoop,Catalyst Portal,48,48,100
20-1,2020-04,01-04-2020,Gladiators,Catalyst Communication,26,26,100
20-1,2020-04,01-04-2020,Performix,Console,52,44,85
20-1,2020-04,01-04-2020,Vega,Course player (HTML5),19,19,100
20-1,2020-04,01-04-2020,DataTycoons,Analytics,37,37,100
20-1,2020-04,01-04-2020,Mavericks,LCEC,18,18,100
20-1,2020-04,01-04-2020,Titans,Certification Manager,49,49,100
20-1,2020-04,01-04-2020,Avengers,Campaign Manager,26,21,81
20-1,2020-03,01-03-2020,Polaris,CAT Angular Migration,53,40,75
20-1,2020-03,01-03-2020,FiniteLoop,Catalyst Portal,38,33,87
20-1,2020-03,01-03-2020,Gladiators,Catalyst Communication,26,21,81
20-1,2020-03,01-03-2020,Performix,Console,34,21,62
20-1,2020-03,01-03-2020,Vega,Course player (HTML5),21,16,76
20-1,2020-03,01-03-2020,DataTycoons,Analytics,28,20,71
20-1,2020-03,01-03-2020,Mavericks,LCEC,21,21,100
20-1,2020-03,01-03-2020,Titans,Certification Manager,37,24,65
20-1,2020-03,01-03-2020,Avengers,Campaign Manager,26,8,31
20-1,2020-02,01-02-2020,Polaris,CAT Angular Migration,74,74,100
20-1,2020-02,01-02-2020,FiniteLoop,Catalyst Portal,33,33,100
20-1,2020-02,01-02-2020,Gladiators,Catalyst Communication,18,16,89
20-1,2020-02,01-02-2020,Performix,Console,53,45,85
20-1,2020-02,01-02-2020,Vega,Course player (HTML5),28,28,100
20-1,2020-02,01-02-2020,DataTycoons,Analytics,45,45,100
20-1,2020-02,01-02-2020,Mavericks,LCEC,20,20,100
20-1,2020-02,01-02-2020,Titans,Certification Manager,47,34,72
20-1,2020-02,01-02-2020,Avengers,Campaign Manager,21,13,62
20-1,2020-01,01-01-2020,Polaris,CAT Angular Migration,54,41,76
20-1,2020-01,01-01-2020,FiniteLoop,Catalyst Portal,75,62,83
20-1,2020-01,01-01-2020,Gladiators,Catalyst Communication,16,16,100
20-1,2020-01,01-01-2020,Performix,Console,58,18,31
20-1,2020-01,01-01-2020,Vega,Course player (HTML5),25,25,100
20-1,2020-01,01-01-2020,DataTycoons,Analytics,53,40,75
20-1,2020-01,01-01-2020,Mavericks,LCEC,11,8,73
20-1,2020-01,01-01-2020,Titans,Certification Manager,45,37,82
20-1,2020-01,01-01-2020,Avengers,Campaign Manager,26,21,81
19-4,2019-24,01-11-2019,Polaris,CAT Angular Migration,44,39,89
19-4,2019-24,01-11-2019,FiniteLoop,Catalyst Portal,63,29,46
19-4,2019-24,01-11-2019,Gladiators,Catalyst Communication,24,19,79
19-4,2019-24,01-11-2019,Performix,Console,42,21,50
19-4,2019-24,01-11-2019,Vega,Course player (HTML5),0,0,0
19-4,2019-24,01-11-2019,DataTycoons,Analytics,48,48,100
19-4,2019-24,01-11-2019,Mavericks,LCEC,16,16,100
19-4,2019-24,01-11-2019,Titans,Certification Manager,45,37,82
19-4,2019-24,01-11-2019,Avengers,Campaign Manager,16,16,100
19-4,2019-23,01-10-2019,Polaris,CAT Angular Migration,52,52,100
19-4,2019-23,01-10-2019,FiniteLoop,Catalyst Portal,61,61,100
19-4,2019-23,01-10-2019,Gladiators,Catalyst Communication,20,12,60
19-4,2019-23,01-10-2019,Performix,Console,29,29,100
19-4,2019-23,01-10-2019,Vega,Course player (HTML5),0,0,0
19-4,2019-23,01-10-2019,DataTycoons,Analytics,50,34,68
19-4,2019-23,01-10-2019,Mavericks,LCEC,20,20,100
19-4,2019-23,01-10-2019,Titans,Certification Manager,41,41,100
19-4,2019-23,01-10-2019,Avengers,Campaign Manager,16,16,100
19-4,2019-22,01-09-2019,Polaris,CAT Angular Migration,31,31,100
19-4,2019-22,01-09-2019,FiniteLoop,Catalyst Portal,45,32,71
19-4,2019-22,01-09-2019,Gladiators,Catalyst Communication,20,20,100
19-4,2019-22,01-09-2019,Performix,Console,41,41,100
19-4,2019-22,01-09-2019,Vega,Course player (HTML5),11,11,100
19-4,2019-22,01-09-2019,DataTycoons,Analytics,34,34,100
19-4,2019-22,01-09-2019,Mavericks,LCEC,12,12,100
19-4,2019-22,01-09-2019,Titans,Certification Manager,26,18,69
19-4,2019-22,01-09-2019,Avengers,Campaign Manager,13,13,100
19-4,2019-21,01-08-2019,Polaris,CAT Angular Migration,47,47,100
19-4,2019-21,01-08-2019,FiniteLoop,Catalyst Portal,50,34,68
19-4,2019-21,01-08-2019,Gladiators,Catalyst Communication,24,16,67
19-4,2019-21,01-08-2019,Performix,Console,47,34,72
19-4,2019-21,01-08-2019,Vega,Course player (HTML5),19,19,100
19-4,2019-21,01-08-2019,DataTycoons,Analytics,37,21,57
19-4,2019-21,01-08-2019,Mavericks,LCEC,19,19,100
19-4,2019-21,01-08-2019,Titans,Certification Manager,41,41,100
19-4,2019-21,01-08-2019,Avengers,Campaign Manager,16,16,100
19-4,2019-20,01-07-2019,Polaris,CAT Angular Migration,43,43,100
19-4,2019-20,01-07-2019,FiniteLoop,Catalyst Portal,62,41,66
19-4,2019-20,01-07-2019,Gladiators,Catalyst Communication,19,11,58
19-4,2019-20,01-07-2019,Performix,Console,44,44,100
19-4,2019-20,01-07-2019,Vega,Course player (HTML5),15,15,100
19-4,2019-20,01-07-2019,DataTycoons,Analytics,29,13,45
19-4,2019-20,01-07-2019,Mavericks,LCEC,16,16,100
19-4,2019-20,01-07-2019,Titans,Certification Manager,42,29,69
19-4,2019-20,01-07-2019,Avengers,Campaign Manager,17,17,100
